year,Jonas
1880,28
1881,25
1882,26
1883,22
1884,35
1885,23
1886,20
1887,24
1888,30
1889,25
1890,22
1891,18
1892,24
1893,26
1894,13
1895,26
1896,21
1897,19
1898,18
1899,9
1900,31
1901,17
1902,27
1903,26
1904,22
1905,19
1906,18
1907,29
1908,30
1909,19
1910,18
1911,31
1912,50
1913,51
1914,60
1915,81
1916,84
1917,73
1918,95
1919,91
1920,84
1921,73
1922,78
1923,63
1924,70
1925,70
1926,97
1927,70
1928,71
1929,68
1930,77
1931,57
1932,64
1933,50
1934,66
1935,51
1936,52
1937,45
1938,49
1939,52
1940,52
1941,55
1942,53
1943,51
1944,62
1945,45
1946,54
1947,67
1948,70
1949,60
1950,64
1951,66
1952,57
1953,65
1954,59
1955,59
1956,77
1957,60
1958,53
1959,63
1960,69
1961,43
1962,62
1963,68
1964,89
1965,88
1966,79
1967,68
1968,58
1969,137
1970,195
1971,229
1972,166
1973,183
1974,163
1975,169
1976,201
1977,185
1978,175
1979,213
1980,341
1981,336
1982,291
1983,276
1984,222
1985,195
1986,176
1987,202
1988,174
1989,164
1990,177
1991,162
1992,147
1993,178
1994,227
1995,250
1996,325
1997,352
1998,406
1999,420
2000,431
2001,437
2002,571
2003,540
2004,571
2005,751
2006,853
2007,969
2008,1252
2009,809
2010,588
2011,533
2012,579
