year,Janette
1880,6
1881,9
1882,0
1883,0
1884,6
1885,7
1886,8
1887,0
1888,15
1889,13
1890,11
1891,10
1892,20
1893,9
1894,9
1895,15
1896,10
1897,13
1898,10
1899,17
1900,19
1901,19
1902,6
1903,17
1904,22
1905,24
1906,14
1907,22
1908,27
1909,26
1910,26
1911,32
1912,49
1913,52
1914,77
1915,113
1916,96
1917,99
1918,139
1919,122
1920,142
1921,160
1922,168
1923,148
1924,158
1925,183
1926,166
1927,172
1928,151
1929,163
1930,195
1931,250
1932,256
1933,288
1934,278
1935,262
1936,281
1937,296
1938,308
1939,306
1940,319
1941,288
1942,343
1943,343
1944,314
1945,301
1946,382
1947,411
1948,415
1949,502
1950,552
1951,601
1952,541
1953,701
1954,692
1955,665
1956,619
1957,642
1958,546
1959,538
1960,561
1961,577
1962,588
1963,541
1964,586
1965,484
1966,501
1967,453
1968,451
1969,478
1970,435
1971,432
1972,363
1973,359
1974,341
1975,359
1976,313
1977,327
1978,299
1979,326
1980,314
1981,329
1982,390
1983,325
1984,263
1985,280
1986,335
1987,316
1988,320
1989,352
1990,360
1991,320
1992,316
1993,300
1994,261
1995,212
1996,230
1997,220
1998,212
1999,227
2000,188
2001,200
2002,174
2003,168
2004,160
2005,138
2006,133
2007,132
2008,114
2009,85
2010,101
2011,83
2012,78
