year,Jayne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,10
1907,5
1908,8
1909,8
1910,8
1911,16
1912,27
1913,48
1914,54
1915,87
1916,134
1917,175
1918,156
1919,169
1920,213
1921,257
1922,214
1923,198
1924,188
1925,195
1926,137
1927,118
1928,107
1929,85
1930,105
1931,114
1932,117
1933,129
1934,110
1935,125
1936,115
1937,134
1938,183
1939,177
1940,207
1941,235
1942,281
1943,321
1944,319
1945,405
1946,490
1947,559
1948,519
1949,621
1950,596
1951,550
1952,540
1953,574
1954,911
1955,1178
1956,1470
1957,1526
1958,1328
1959,1127
1960,910
1961,985
1962,877
1963,750
1964,615
1965,489
1966,419
1967,350
1968,258
1969,229
1970,194
1971,164
1972,141
1973,121
1974,112
1975,117
1976,111
1977,119
1978,116
1979,159
1980,143
1981,149
1982,137
1983,126
1984,135
1985,145
1986,100
1987,119
1988,142
1989,133
1990,128
1991,130
1992,93
1993,86
1994,120
1995,100
1996,97
1997,85
1998,68
1999,91
2000,98
2001,81
2002,65
2003,66
2004,91
2005,63
2006,67
2007,65
2008,74
2009,65
2010,70
2011,76
2012,56
