year,Jossie
1880,7
1881,0
1882,6
1883,9
1884,7
1885,9
1886,10
1887,6
1888,9
1889,13
1890,16
1891,10
1892,16
1893,11
1894,14
1895,13
1896,13
1897,12
1898,18
1899,11
1900,15
1901,16
1902,23
1903,15
1904,16
1905,21
1906,19
1907,13
1908,17
1909,20
1910,26
1911,18
1912,19
1913,30
1914,31
1915,23
1916,38
1917,33
1918,29
1919,39
1920,43
1921,32
1922,39
1923,28
1924,22
1925,37
1926,45
1927,29
1928,30
1929,38
1930,24
1931,27
1932,26
1933,23
1934,29
1935,20
1936,19
1937,19
1938,15
1939,24
1940,15
1941,17
1942,11
1943,10
1944,17
1945,17
1946,19
1947,23
1948,11
1949,18
1950,14
1951,14
1952,11
1953,6
1954,13
1955,8
1956,6
1957,7
1958,5
1959,0
1960,6
1961,6
1962,0
1963,6
1964,6
1965,0
1966,0
1967,5
1968,6
1969,0
1970,5
1971,0
1972,5
1973,0
1974,6
1975,0
1976,0
1977,5
1978,0
1979,6
1980,9
1981,13
1982,12
1983,7
1984,8
1985,9
1986,0
1987,10
1988,10
1989,12
1990,19
1991,18
1992,12
1993,28
1994,20
1995,17
1996,18
1997,10
1998,14
1999,12
2000,11
2001,16
2002,10
2003,20
2004,15
2005,11
2006,12
2007,8
2008,14
2009,9
2010,14
2011,7
2012,8
