year,Jennings
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,5
1894,5
1895,9
1896,40
1897,50
1898,28
1899,17
1900,31
1901,11
1902,9
1903,0
1904,7
1905,5
1906,10
1907,15
1908,12
1909,7
1910,10
1911,13
1912,27
1913,48
1914,46
1915,58
1916,71
1917,57
1918,72
1919,60
1920,95
1921,86
1922,64
1923,107
1924,86
1925,100
1926,113
1927,91
1928,78
1929,73
1930,55
1931,63
1932,59
1933,60
1934,66
1935,54
1936,65
1937,45
1938,72
1939,59
1940,44
1941,54
1942,54
1943,54
1944,48
1945,58
1946,40
1947,57
1948,45
1949,43
1950,36
1951,31
1952,50
1953,41
1954,27
1955,35
1956,28
1957,29
1958,29
1959,34
1960,33
1961,35
1962,21
1963,27
1964,20
1965,22
1966,15
1967,13
1968,20
1969,16
1970,18
1971,15
1972,15
1973,12
1974,15
1975,17
1976,14
1977,16
1978,16
1979,13
1980,17
1981,15
1982,15
1983,19
1984,13
1985,20
1986,18
1987,15
1988,15
1989,17
1990,15
1991,11
1992,19
1993,25
1994,22
1995,13
1996,16
1997,11
1998,24
1999,26
2000,22
2001,13
2002,15
2003,25
2004,13
2005,13
2006,21
2007,15
2008,22
2009,19
2010,35
2011,34
2012,35
