year,Jessee
1880,6
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,9
1914,9
1915,12
1916,5
1917,10
1918,15
1919,11
1920,14
1921,13
1922,21
1923,10
1924,11
1925,16
1926,14
1927,12
1928,15
1929,15
1930,5
1931,11
1932,0
1933,7
1934,8
1935,8
1936,0
1937,13
1938,10
1939,6
1940,9
1941,5
1942,10
1943,7
1944,12
1945,0
1946,0
1947,8
1948,7
1949,0
1950,7
1951,0
1952,9
1953,12
1954,8
1955,11
1956,12
1957,12
1958,0
1959,9
1960,7
1961,5
1962,7
1963,11
1964,9
1965,0
1966,8
1967,5
1968,6
1969,9
1970,14
1971,12
1972,8
1973,11
1974,14
1975,25
1976,16
1977,18
1978,16
1979,16
1980,29
1981,31
1982,43
1983,29
1984,40
1985,41
1986,34
1987,40
1988,47
1989,59
1990,72
1991,61
1992,62
1993,56
1994,50
1995,67
1996,48
1997,40
1998,33
1999,30
2000,32
2001,30
2002,26
2003,37
2004,33
2005,23
2006,28
2007,21
2008,15
2009,7
2010,19
2011,14
2012,7
