year,Jule
1880,0
1881,9
1882,9
1883,0
1884,6
1885,9
1886,12
1887,12
1888,18
1889,12
1890,16
1891,22
1892,12
1893,13
1894,15
1895,22
1896,5
1897,18
1898,8
1899,14
1900,22
1901,15
1902,22
1903,10
1904,17
1905,21
1906,11
1907,16
1908,22
1909,12
1910,27
1911,20
1912,51
1913,50
1914,45
1915,74
1916,74
1917,73
1918,81
1919,69
1920,66
1921,66
1922,62
1923,59
1924,60
1925,71
1926,61
1927,60
1928,47
1929,44
1930,52
1931,42
1932,36
1933,48
1934,36
1935,30
1936,32
1937,33
1938,40
1939,44
1940,37
1941,36
1942,42
1943,37
1944,47
1945,33
1946,40
1947,36
1948,38
1949,36
1950,27
1951,30
1952,35
1953,42
1954,40
1955,44
1956,32
1957,36
1958,38
1959,27
1960,35
1961,36
1962,22
1963,29
1964,21
1965,18
1966,21
1967,11
1968,15
1969,14
1970,15
1971,23
1972,15
1973,14
1974,17
1975,20
1976,16
1977,14
1978,12
1979,21
1980,0
1981,8
1982,9
1983,11
1984,12
1985,6
1986,12
1987,12
1988,6
1989,6
1990,5
1991,5
1992,7
1993,0
1994,0
1995,14
1996,8
1997,6
1998,7
1999,9
2000,0
2001,9
2002,11
2003,9
2004,9
2005,7
2006,13
2007,12
2008,14
2009,13
2010,0
2011,15
2012,8
