year,Ivey
1880,7
1881,6
1882,0
1883,5
1884,0
1885,6
1886,5
1887,0
1888,6
1889,0
1890,5
1891,16
1892,15
1893,7
1894,8
1895,15
1896,13
1897,11
1898,12
1899,11
1900,8
1901,6
1902,7
1903,10
1904,18
1905,6
1906,7
1907,19
1908,19
1909,11
1910,24
1911,19
1912,29
1913,35
1914,35
1915,46
1916,45
1917,54
1918,57
1919,37
1920,45
1921,48
1922,50
1923,35
1924,43
1925,41
1926,35
1927,48
1928,39
1929,27
1930,39
1931,22
1932,37
1933,36
1934,36
1935,31
1936,36
1937,27
1938,31
1939,32
1940,38
1941,24
1942,43
1943,33
1944,21
1945,30
1946,32
1947,29
1948,25
1949,35
1950,33
1951,35
1952,38
1953,36
1954,40
1955,42
1956,45
1957,50
1958,38
1959,46
1960,43
1961,30
1962,25
1963,25
1964,26
1965,23
1966,23
1967,22
1968,26
1969,32
1970,33
1971,27
1972,26
1973,24
1974,25
1975,16
1976,23
1977,21
1978,30
1979,26
1980,39
1981,37
1982,44
1983,38
1984,29
1985,30
1986,36
1987,34
1988,31
1989,36
1990,40
1991,21
1992,33
1993,44
1994,48
1995,74
1996,74
1997,76
1998,59
1999,72
2000,79
2001,72
2002,63
2003,65
2004,61
2005,67
2006,72
2007,69
2008,68
2009,66
2010,68
2011,73
2012,87
