year,Ima
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,9
1887,5
1888,9
1889,7
1890,11
1891,10
1892,24
1893,26
1894,42
1895,28
1896,26
1897,22
1898,38
1899,37
1900,36
1901,30
1902,32
1903,40
1904,33
1905,45
1906,46
1907,42
1908,40
1909,56
1910,50
1911,49
1912,63
1913,67
1914,94
1915,109
1916,110
1917,149
1918,158
1919,139
1920,169
1921,167
1922,155
1923,166
1924,179
1925,219
1926,223
1927,232
1928,227
1929,202
1930,228
1931,204
1932,222
1933,204
1934,213
1935,171
1936,149
1937,154
1938,125
1939,146
1940,153
1941,100
1942,109
1943,79
1944,76
1945,72
1946,67
1947,52
1948,68
1949,51
1950,35
1951,57
1952,34
1953,37
1954,33
1955,34
1956,20
1957,15
1958,21
1959,17
1960,14
1961,13
1962,15
1963,11
1964,12
1965,15
1966,7
1967,10
1968,7
1969,9
1970,0
1971,6
1972,5
1973,9
1974,0
1975,5
1976,6
1977,6
1978,5
1979,0
1980,8
1981,0
1982,7
1983,5
1984,0
1985,0
1986,0
1987,5
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,7
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,7
2006,0
2007,0
2008,0
2009,0
2010,6
2011,0
2012,6
