year,Ignacia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,8
1905,7
1906,7
1907,0
1908,0
1909,9
1910,10
1911,7
1912,7
1913,11
1914,12
1915,11
1916,15
1917,17
1918,18
1919,31
1920,31
1921,21
1922,35
1923,19
1924,31
1925,25
1926,37
1927,19
1928,26
1929,24
1930,28
1931,22
1932,20
1933,18
1934,14
1935,14
1936,16
1937,10
1938,16
1939,13
1940,10
1941,16
1942,10
1943,13
1944,11
1945,16
1946,17
1947,12
1948,17
1949,6
1950,8
1951,11
1952,19
1953,10
1954,11
1955,10
1956,7
1957,11
1958,0
1959,8
1960,7
1961,9
1962,0
1963,6
1964,5
1965,0
1966,0
1967,8
1968,7
1969,0
1970,0
1971,8
1972,6
1973,7
1974,0
1975,7
1976,8
1977,0
1978,6
1979,5
1980,0
1981,10
1982,8
1983,7
1984,0
1985,0
1986,7
1987,6
1988,6
1989,0
1990,0
1991,0
1992,6
1993,9
1994,0
1995,9
1996,0
1997,6
1998,7
1999,0
2000,0
2001,5
2002,0
2003,0
2004,5
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,7
