year,Ina
1880,79
1881,108
1882,104
1883,113
1884,134
1885,126
1886,149
1887,178
1888,206
1889,209
1890,215
1891,216
1892,216
1893,248
1894,242
1895,220
1896,238
1897,262
1898,297
1899,243
1900,288
1901,249
1902,224
1903,256
1904,230
1905,283
1906,262
1907,289
1908,299
1909,287
1910,296
1911,306
1912,419
1913,469
1914,495
1915,705
1916,671
1917,691
1918,712
1919,710
1920,684
1921,751
1922,689
1923,626
1924,700
1925,741
1926,681
1927,624
1928,622
1929,676
1930,633
1931,613
1932,660
1933,541
1934,571
1935,530
1936,530
1937,514
1938,488
1939,466
1940,423
1941,409
1942,427
1943,453
1944,346
1945,342
1946,340
1947,360
1948,324
1949,351
1950,267
1951,246
1952,261
1953,236
1954,242
1955,208
1956,227
1957,177
1958,175
1959,173
1960,148
1961,151
1962,145
1963,137
1964,124
1965,129
1966,126
1967,85
1968,101
1969,105
1970,94
1971,78
1972,70
1973,78
1974,82
1975,69
1976,58
1977,51
1978,66
1979,58
1980,50
1981,54
1982,47
1983,34
1984,41
1985,41
1986,39
1987,37
1988,39
1989,38
1990,35
1991,35
1992,30
1993,25
1994,39
1995,40
1996,25
1997,36
1998,39
1999,41
2000,39
2001,39
2002,42
2003,35
2004,37
2005,31
2006,33
2007,46
2008,36
2009,36
2010,31
2011,37
2012,41
