year,Iona
1880,18
1881,18
1882,22
1883,18
1884,17
1885,23
1886,18
1887,22
1888,31
1889,37
1890,37
1891,28
1892,44
1893,44
1894,48
1895,50
1896,56
1897,57
1898,52
1899,39
1900,83
1901,64
1902,62
1903,73
1904,90
1905,88
1906,83
1907,93
1908,101
1909,101
1910,124
1911,110
1912,141
1913,147
1914,164
1915,270
1916,320
1917,330
1918,404
1919,353
1920,373
1921,360
1922,331
1923,343
1924,332
1925,294
1926,264
1927,299
1928,275
1929,279
1930,232
1931,235
1932,194
1933,186
1934,178
1935,162
1936,162
1937,123
1938,128
1939,146
1940,97
1941,89
1942,112
1943,109
1944,94
1945,80
1946,95
1947,71
1948,74
1949,65
1950,71
1951,82
1952,68
1953,58
1954,68
1955,70
1956,56
1957,35
1958,45
1959,57
1960,37
1961,40
1962,31
1963,30
1964,33
1965,26
1966,20
1967,37
1968,17
1969,19
1970,24
1971,20
1972,18
1973,26
1974,21
1975,19
1976,18
1977,16
1978,20
1979,14
1980,15
1981,12
1982,16
1983,21
1984,15
1985,9
1986,15
1987,12
1988,12
1989,13
1990,8
1991,9
1992,10
1993,15
1994,9
1995,5
1996,10
1997,23
1998,17
1999,20
2000,26
2001,33
2002,22
2003,23
2004,35
2005,28
2006,39
2007,33
2008,35
2009,35
2010,44
2011,38
2012,42
