year,Idella
1880,23
1881,13
1882,12
1883,16
1884,22
1885,18
1886,17
1887,23
1888,28
1889,29
1890,29
1891,30
1892,36
1893,36
1894,36
1895,59
1896,51
1897,41
1898,53
1899,52
1900,60
1901,38
1902,48
1903,47
1904,51
1905,64
1906,60
1907,66
1908,66
1909,72
1910,81
1911,82
1912,90
1913,95
1914,118
1915,138
1916,146
1917,130
1918,164
1919,142
1920,158
1921,168
1922,164
1923,161
1924,144
1925,155
1926,150
1927,129
1928,110
1929,119
1930,120
1931,83
1932,81
1933,89
1934,97
1935,74
1936,89
1937,78
1938,72
1939,68
1940,76
1941,76
1942,76
1943,63
1944,51
1945,65
1946,63
1947,53
1948,70
1949,55
1950,71
1951,75
1952,66
1953,59
1954,57
1955,46
1956,38
1957,46
1958,42
1959,48
1960,37
1961,33
1962,34
1963,19
1964,22
1965,31
1966,21
1967,16
1968,28
1969,13
1970,19
1971,14
1972,19
1973,13
1974,12
1975,13
1976,5
1977,7
1978,15
1979,13
1980,10
1981,11
1982,7
1983,9
1984,7
1985,6
1986,6
1987,12
1988,10
1989,9
1990,6
1991,8
1992,0
1993,5
1994,8
1995,0
1996,5
1997,0
1998,0
1999,8
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,5
2008,5
2009,6
2010,5
2011,5
2012,11
