year,India
1880,12
1881,16
1882,16
1883,16
1884,20
1885,14
1886,15
1887,10
1888,18
1889,17
1890,22
1891,13
1892,32
1893,18
1894,11
1895,22
1896,27
1897,16
1898,16
1899,19
1900,18
1901,16
1902,16
1903,16
1904,10
1905,17
1906,16
1907,16
1908,9
1909,15
1910,19
1911,20
1912,18
1913,25
1914,33
1915,33
1916,29
1917,26
1918,28
1919,33
1920,30
1921,32
1922,39
1923,27
1924,24
1925,35
1926,34
1927,25
1928,22
1929,21
1930,17
1931,16
1932,13
1933,14
1934,17
1935,14
1936,16
1937,17
1938,17
1939,10
1940,22
1941,31
1942,23
1943,30
1944,17
1945,22
1946,25
1947,20
1948,32
1949,28
1950,27
1951,31
1952,31
1953,42
1954,55
1955,51
1956,45
1957,45
1958,49
1959,48
1960,41
1961,40
1962,31
1963,29
1964,27
1965,34
1966,39
1967,42
1968,32
1969,41
1970,192
1971,248
1972,194
1973,140
1974,106
1975,151
1976,134
1977,159
1978,129
1979,157
1980,134
1981,180
1982,141
1983,177
1984,328
1985,759
1986,603
1987,530
1988,498
1989,453
1990,507
1991,614
1992,669
1993,659
1994,616
1995,598
1996,669
1997,602
1998,513
1999,677
2000,722
2001,1049
2002,978
2003,741
2004,614
2005,612
2006,522
2007,427
2008,353
2009,334
2010,260
2011,250
2012,201
