year,Isabelle
1880,80
1881,82
1882,81
1883,91
1884,115
1885,105
1886,136
1887,108
1888,153
1889,141
1890,156
1891,130
1892,213
1893,205
1894,184
1895,205
1896,180
1897,215
1898,221
1899,181
1900,224
1901,194
1902,204
1903,213
1904,223
1905,253
1906,278
1907,291
1908,308
1909,326
1910,389
1911,377
1912,520
1913,606
1914,739
1915,942
1916,927
1917,982
1918,886
1919,887
1920,899
1921,846
1922,794
1923,722
1924,760
1925,708
1926,636
1927,570
1928,533
1929,495
1930,438
1931,390
1932,364
1933,330
1934,272
1935,251
1936,225
1937,179
1938,161
1939,151
1940,188
1941,157
1942,176
1943,160
1944,148
1945,131
1946,124
1947,151
1948,124
1949,113
1950,103
1951,121
1952,113
1953,111
1954,98
1955,98
1956,88
1957,109
1958,81
1959,107
1960,97
1961,103
1962,99
1963,88
1964,102
1965,77
1966,73
1967,61
1968,55
1969,57
1970,56
1971,45
1972,58
1973,40
1974,47
1975,53
1976,45
1977,40
1978,37
1979,41
1980,49
1981,48
1982,33
1983,47
1984,61
1985,44
1986,60
1987,93
1988,120
1989,139
1990,172
1991,193
1992,239
1993,278
1994,443
1995,507
1996,727
1997,1163
1998,1590
1999,1953
2000,2339
2001,2943
2002,3063
2003,3108
2004,3106
2005,3279
2006,4043
2007,4100
2008,3569
2009,3301
2010,2891
2011,2658
2012,2495
