year,Imogene
1880,12
1881,14
1882,12
1883,14
1884,0
1885,7
1886,12
1887,17
1888,22
1889,26
1890,22
1891,23
1892,31
1893,26
1894,25
1895,34
1896,34
1897,40
1898,27
1899,32
1900,59
1901,29
1902,42
1903,54
1904,48
1905,53
1906,53
1907,64
1908,88
1909,107
1910,98
1911,137
1912,172
1913,227
1914,333
1915,444
1916,423
1917,564
1918,590
1919,702
1920,804
1921,838
1922,916
1923,1001
1924,1247
1925,1258
1926,1260
1927,1494
1928,1316
1929,1177
1930,1033
1931,906
1932,943
1933,795
1934,768
1935,614
1936,545
1937,498
1938,453
1939,409
1940,361
1941,345
1942,270
1943,272
1944,234
1945,224
1946,220
1947,206
1948,172
1949,150
1950,149
1951,145
1952,148
1953,114
1954,118
1955,106
1956,86
1957,92
1958,71
1959,72
1960,62
1961,50
1962,39
1963,30
1964,51
1965,22
1966,22
1967,36
1968,18
1969,22
1970,12
1971,21
1972,7
1973,8
1974,15
1975,12
1976,11
1977,10
1978,11
1979,6
1980,10
1981,6
1982,6
1983,0
1984,12
1985,0
1986,7
1987,7
1988,5
1989,5
1990,5
1991,9
1992,0
1993,5
1994,0
1995,7
1996,5
1997,6
1998,7
1999,0
2000,5
2001,11
2002,6
2003,6
2004,8
2005,10
2006,10
2007,9
2008,8
2009,14
2010,12
2011,13
2012,28
