year,Isac
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,5
1903,5
1904,0
1905,5
1906,6
1907,0
1908,7
1909,5
1910,10
1911,5
1912,9
1913,10
1914,11
1915,21
1916,17
1917,14
1918,19
1919,16
1920,13
1921,20
1922,14
1923,12
1924,12
1925,13
1926,13
1927,14
1928,15
1929,19
1930,11
1931,12
1932,13
1933,8
1934,0
1935,12
1936,6
1937,7
1938,7
1939,5
1940,0
1941,5
1942,5
1943,7
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,7
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,6
1966,5
1967,0
1968,5
1969,0
1970,0
1971,5
1972,0
1973,9
1974,7
1975,6
1976,10
1977,9
1978,8
1979,7
1980,20
1981,18
1982,20
1983,17
1984,15
1985,21
1986,18
1987,20
1988,22
1989,21
1990,32
1991,31
1992,39
1993,38
1994,48
1995,56
1996,62
1997,68
1998,81
1999,88
2000,79
2001,120
2002,95
2003,127
2004,126
2005,141
2006,148
2007,138
2008,123
2009,111
2010,102
2011,92
2012,73
