year,Isom
1880,18
1881,20
1882,24
1883,18
1884,27
1885,17
1886,21
1887,15
1888,13
1889,10
1890,13
1891,12
1892,13
1893,10
1894,10
1895,11
1896,11
1897,11
1898,19
1899,7
1900,11
1901,12
1902,6
1903,13
1904,12
1905,11
1906,11
1907,15
1908,10
1909,14
1910,15
1911,11
1912,18
1913,15
1914,18
1915,28
1916,36
1917,32
1918,25
1919,35
1920,37
1921,34
1922,23
1923,23
1924,24
1925,31
1926,31
1927,34
1928,23
1929,17
1930,19
1931,18
1932,20
1933,15
1934,20
1935,20
1936,17
1937,17
1938,11
1939,7
1940,17
1941,10
1942,22
1943,19
1944,16
1945,19
1946,19
1947,19
1948,17
1949,11
1950,19
1951,20
1952,12
1953,9
1954,13
1955,12
1956,17
1957,19
1958,8
1959,13
1960,11
1961,5
1962,0
1963,12
1964,10
1965,0
1966,7
1967,7
1968,5
1969,0
1970,5
1971,7
1972,6
1973,8
1974,8
1975,5
1976,8
1977,5
1978,7
1979,0
1980,8
1981,10
1982,8
1983,6
1984,6
1985,6
1986,0
1987,0
1988,8
1989,5
1990,6
1991,5
1992,0
1993,8
1994,8
1995,7
1996,9
1997,8
1998,8
1999,6
2000,6
2001,0
2002,8
2003,0
2004,6
2005,0
2006,6
2007,5
2008,7
2009,11
2010,5
2011,8
2012,10
