year,Ila
1880,15
1881,20
1882,25
1883,32
1884,29
1885,42
1886,45
1887,43
1888,49
1889,54
1890,63
1891,72
1892,93
1893,97
1894,112
1895,97
1896,126
1897,119
1898,114
1899,113
1900,177
1901,138
1902,154
1903,160
1904,143
1905,166
1906,146
1907,162
1908,196
1909,200
1910,199
1911,243
1912,274
1913,279
1914,376
1915,450
1916,522
1917,499
1918,571
1919,554
1920,567
1921,623
1922,576
1923,528
1924,584
1925,649
1926,487
1927,530
1928,526
1929,480
1930,456
1931,426
1932,429
1933,378
1934,367
1935,312
1936,315
1937,320
1938,299
1939,247
1940,212
1941,217
1942,229
1943,189
1944,172
1945,151
1946,146
1947,183
1948,143
1949,123
1950,133
1951,112
1952,145
1953,136
1954,82
1955,87
1956,83
1957,94
1958,88
1959,74
1960,57
1961,72
1962,71
1963,48
1964,55
1965,36
1966,41
1967,49
1968,36
1969,41
1970,24
1971,35
1972,27
1973,23
1974,26
1975,32
1976,25
1977,30
1978,27
1979,33
1980,28
1981,23
1982,24
1983,21
1984,29
1985,16
1986,20
1987,31
1988,17
1989,16
1990,24
1991,19
1992,19
1993,16
1994,25
1995,16
1996,30
1997,28
1998,25
1999,38
2000,38
2001,57
2002,43
2003,55
2004,60
2005,74
2006,90
2007,88
2008,109
2009,124
2010,155
2011,129
2012,147
