year,Ingrid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,6
1899,0
1900,6
1901,0
1902,8
1903,9
1904,8
1905,6
1906,5
1907,15
1908,15
1909,11
1910,15
1911,18
1912,22
1913,33
1914,24
1915,41
1916,50
1917,43
1918,50
1919,38
1920,37
1921,35
1922,24
1923,25
1924,26
1925,33
1926,34
1927,46
1928,23
1929,58
1930,34
1931,41
1932,40
1933,40
1934,38
1935,54
1936,36
1937,31
1938,30
1939,45
1940,64
1941,94
1942,96
1943,176
1944,179
1945,180
1946,290
1947,317
1948,250
1949,249
1950,136
1951,168
1952,205
1953,223
1954,219
1955,225
1956,259
1957,356
1958,373
1959,435
1960,455
1961,424
1962,421
1963,467
1964,531
1965,494
1966,523
1967,575
1968,483
1969,479
1970,523
1971,506
1972,468
1973,387
1974,361
1975,353
1976,338
1977,305
1978,235
1979,257
1980,286
1981,277
1982,276
1983,268
1984,248
1985,213
1986,246
1987,227
1988,205
1989,262
1990,281
1991,242
1992,311
1993,290
1994,273
1995,239
1996,256
1997,236
1998,236
1999,252
2000,257
2001,328
2002,340
2003,374
2004,442
2005,429
2006,470
2007,477
2008,564
2009,354
2010,354
2011,307
2012,286
