year,Ines
1880,0
1881,0
1882,0
1883,5
1884,0
1885,6
1886,0
1887,0
1888,7
1889,0
1890,10
1891,6
1892,9
1893,11
1894,16
1895,7
1896,7
1897,12
1898,14
1899,12
1900,24
1901,12
1902,14
1903,11
1904,21
1905,21
1906,22
1907,18
1908,24
1909,19
1910,24
1911,36
1912,47
1913,45
1914,63
1915,71
1916,100
1917,85
1918,92
1919,74
1920,71
1921,89
1922,106
1923,76
1924,80
1925,90
1926,91
1927,81
1928,80
1929,76
1930,78
1931,49
1932,50
1933,62
1934,42
1935,26
1936,51
1937,36
1938,30
1939,29
1940,29
1941,27
1942,34
1943,22
1944,23
1945,31
1946,24
1947,26
1948,18
1949,32
1950,21
1951,18
1952,37
1953,28
1954,19
1955,31
1956,30
1957,35
1958,32
1959,31
1960,37
1961,36
1962,47
1963,34
1964,42
1965,42
1966,51
1967,36
1968,34
1969,40
1970,39
1971,55
1972,34
1973,37
1974,39
1975,36
1976,47
1977,38
1978,33
1979,34
1980,43
1981,38
1982,28
1983,37
1984,34
1985,34
1986,31
1987,32
1988,38
1989,40
1990,62
1991,55
1992,45
1993,52
1994,60
1995,65
1996,53
1997,51
1998,63
1999,56
2000,83
2001,60
2002,80
2003,83
2004,80
2005,86
2006,91
2007,81
2008,77
2009,85
2010,71
2011,66
2012,90
