year,Iver
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,6
1888,6
1889,0
1890,5
1891,6
1892,7
1893,0
1894,6
1895,0
1896,0
1897,0
1898,7
1899,0
1900,5
1901,0
1902,6
1903,5
1904,7
1905,6
1906,0
1907,0
1908,6
1909,10
1910,6
1911,7
1912,22
1913,22
1914,32
1915,35
1916,37
1917,16
1918,34
1919,22
1920,30
1921,27
1922,38
1923,34
1924,33
1925,14
1926,24
1927,24
1928,20
1929,20
1930,12
1931,12
1932,19
1933,8
1934,10
1935,13
1936,10
1937,6
1938,18
1939,20
1940,13
1941,5
1942,5
1943,0
1944,0
1945,0
1946,7
1947,9
1948,9
1949,10
1950,6
1951,7
1952,9
1953,10
1954,5
1955,6
1956,8
1957,6
1958,6
1959,8
1960,0
1961,7
1962,8
1963,7
1964,0
1965,8
1966,0
1967,0
1968,6
1969,0
1970,0
1971,5
1972,7
1973,6
1974,0
1975,0
1976,5
1977,5
1978,0
1979,0
1980,7
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,5
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,5
2003,6
2004,5
2005,11
2006,6
2007,5
2008,15
2009,16
2010,11
2011,17
2012,25
