year,Isabell
1880,22
1881,22
1882,22
1883,25
1884,35
1885,39
1886,41
1887,35
1888,46
1889,58
1890,51
1891,41
1892,53
1893,56
1894,60
1895,61
1896,58
1897,64
1898,87
1899,73
1900,92
1901,70
1902,81
1903,99
1904,73
1905,100
1906,84
1907,88
1908,104
1909,105
1910,129
1911,120
1912,160
1913,151
1914,210
1915,249
1916,220
1917,294
1918,281
1919,273
1920,249
1921,271
1922,233
1923,234
1924,282
1925,237
1926,221
1927,208
1928,172
1929,186
1930,171
1931,126
1932,139
1933,117
1934,96
1935,101
1936,106
1937,95
1938,87
1939,96
1940,77
1941,75
1942,75
1943,74
1944,66
1945,51
1946,57
1947,77
1948,57
1949,68
1950,62
1951,59
1952,55
1953,63
1954,54
1955,61
1956,57
1957,49
1958,43
1959,34
1960,34
1961,30
1962,42
1963,46
1964,43
1965,18
1966,25
1967,9
1968,17
1969,10
1970,18
1971,25
1972,21
1973,21
1974,22
1975,15
1976,13
1977,15
1978,17
1979,13
1980,21
1981,15
1982,22
1983,16
1984,13
1985,22
1986,9
1987,20
1988,26
1989,19
1990,15
1991,22
1992,25
1993,32
1994,37
1995,33
1996,49
1997,93
1998,117
1999,174
2000,162
2001,193
2002,242
2003,260
2004,285
2005,281
2006,388
2007,363
2008,365
2009,340
2010,322
2011,261
2012,226
