year,Ileen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,5
1908,0
1909,5
1910,0
1911,0
1912,11
1913,9
1914,17
1915,24
1916,32
1917,34
1918,40
1919,34
1920,41
1921,38
1922,50
1923,44
1924,52
1925,51
1926,45
1927,34
1928,32
1929,35
1930,31
1931,31
1932,21
1933,24
1934,21
1935,23
1936,21
1937,22
1938,25
1939,17
1940,21
1941,18
1942,27
1943,19
1944,31
1945,36
1946,32
1947,41
1948,24
1949,22
1950,28
1951,17
1952,22
1953,24
1954,29
1955,22
1956,13
1957,19
1958,14
1959,20
1960,19
1961,17
1962,30
1963,19
1964,13
1965,7
1966,11
1967,11
1968,10
1969,11
1970,13
1971,5
1972,7
1973,0
1974,5
1975,10
1976,0
1977,15
1978,6
1979,0
1980,7
1981,6
1982,6
1983,8
1984,14
1985,12
1986,5
1987,0
1988,13
1989,8
1990,10
1991,7
1992,9
1993,10
1994,14
1995,15
1996,6
1997,17
1998,12
1999,13
2000,28
2001,14
2002,19
2003,15
2004,19
2005,28
2006,21
2007,25
2008,28
2009,26
2010,28
2011,24
2012,23
