year,Iola
1880,15
1881,14
1882,16
1883,13
1884,25
1885,20
1886,21
1887,26
1888,45
1889,38
1890,30
1891,36
1892,54
1893,44
1894,44
1895,48
1896,49
1897,53
1898,67
1899,46
1900,71
1901,56
1902,52
1903,68
1904,61
1905,80
1906,78
1907,169
1908,156
1909,162
1910,175
1911,125
1912,181
1913,216
1914,283
1915,289
1916,317
1917,303
1918,368
1919,268
1920,327
1921,296
1922,296
1923,230
1924,272
1925,250
1926,221
1927,229
1928,223
1929,201
1930,184
1931,163
1932,169
1933,148
1934,122
1935,153
1936,120
1937,99
1938,115
1939,95
1940,92
1941,82
1942,78
1943,67
1944,61
1945,83
1946,55
1947,58
1948,59
1949,57
1950,62
1951,49
1952,65
1953,42
1954,43
1955,45
1956,41
1957,37
1958,19
1959,34
1960,26
1961,24
1962,23
1963,13
1964,16
1965,21
1966,16
1967,15
1968,5
1969,5
1970,7
1971,5
1972,7
1973,9
1974,12
1975,8
1976,5
1977,8
1978,6
1979,12
1980,5
1981,9
1982,5
1983,7
1984,0
1985,0
1986,8
1987,0
1988,0
1989,6
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,7
2007,7
2008,5
2009,0
2010,6
2011,9
2012,7
