year,Ivie
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,5
1888,7
1889,0
1890,0
1891,0
1892,6
1893,6
1894,5
1895,0
1896,16
1897,8
1898,13
1899,8
1900,11
1901,7
1902,0
1903,7
1904,5
1905,8
1906,10
1907,5
1908,7
1909,0
1910,9
1911,0
1912,13
1913,17
1914,13
1915,31
1916,16
1917,19
1918,14
1919,21
1920,22
1921,9
1922,17
1923,0
1924,11
1925,20
1926,5
1927,19
1928,12
1929,12
1930,9
1931,5
1932,6
1933,7
1934,9
1935,5
1936,8
1937,11
1938,0
1939,5
1940,6
1941,8
1942,7
1943,10
1944,13
1945,6
1946,5
1947,8
1948,8
1949,8
1950,11
1951,6
1952,0
1953,5
1954,7
1955,6
1956,0
1957,5
1958,6
1959,6
1960,8
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,7
1970,5
1971,0
1972,0
1973,6
1974,0
1975,6
1976,9
1977,6
1978,8
1979,9
1980,13
1981,9
1982,14
1983,7
1984,5
1985,5
1986,8
1987,10
1988,6
1989,7
1990,12
1991,9
1992,13
1993,10
1994,19
1995,23
1996,24
1997,32
1998,36
1999,43
2000,34
2001,46
2002,30
2003,26
2004,33
2005,38
2006,47
2007,41
2008,39
2009,31
2010,33
2011,27
2012,57
