year,Isa
1880,5
1881,17
1882,12
1883,7
1884,12
1885,14
1886,17
1887,14
1888,17
1889,14
1890,18
1891,12
1892,17
1893,10
1894,13
1895,12
1896,19
1897,19
1898,9
1899,13
1900,18
1901,17
1902,8
1903,10
1904,13
1905,12
1906,11
1907,16
1908,6
1909,13
1910,8
1911,10
1912,17
1913,13
1914,17
1915,36
1916,21
1917,20
1918,13
1919,27
1920,26
1921,20
1922,19
1923,9
1924,17
1925,29
1926,12
1927,9
1928,10
1929,10
1930,8
1931,13
1932,10
1933,10
1934,18
1935,11
1936,9
1937,9
1938,12
1939,17
1940,8
1941,8
1942,15
1943,6
1944,7
1945,9
1946,5
1947,11
1948,6
1949,8
1950,5
1951,6
1952,9
1953,5
1954,9
1955,6
1956,7
1957,7
1958,12
1959,8
1960,12
1961,9
1962,16
1963,7
1964,20
1965,13
1966,13
1967,15
1968,14
1969,26
1970,18
1971,24
1972,24
1973,30
1974,27
1975,35
1976,24
1977,32
1978,34
1979,30
1980,44
1981,34
1982,35
1983,37
1984,31
1985,30
1986,24
1987,26
1988,31
1989,36
1990,37
1991,37
1992,49
1993,38
1994,27
1995,41
1996,39
1997,38
1998,48
1999,65
2000,56
2001,58
2002,78
2003,73
2004,93
2005,108
2006,93
2007,121
2008,124
2009,130
2010,132
2011,135
2012,169
