year,Inda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,6
1890,0
1891,6
1892,0
1893,0
1894,6
1895,0
1896,7
1897,0
1898,0
1899,9
1900,6
1901,7
1902,0
1903,5
1904,0
1905,0
1906,5
1907,9
1908,0
1909,0
1910,8
1911,0
1912,0
1913,0
1914,0
1915,10
1916,12
1917,7
1918,8
1919,8
1920,10
1921,9
1922,7
1923,12
1924,5
1925,10
1926,7
1927,7
1928,5
1929,6
1930,0
1931,6
1932,0
1933,7
1934,0
1935,0
1936,0
1937,7
1938,0
1939,8
1940,11
1941,7
1942,0
1943,9
1944,6
1945,5
1946,0
1947,6
1948,6
1949,0
1950,10
1951,8
1952,0
1953,9
1954,11
1955,6
1956,10
1957,8
1958,5
1959,11
1960,7
1961,8
1962,8
1963,10
1964,7
1965,6
1966,6
1967,11
1968,0
1969,7
1970,9
1971,8
1972,6
1973,6
1974,6
1975,0
1976,0
1977,0
1978,0
1979,5
1980,6
1981,0
1982,0
1983,0
1984,0
1985,5
1986,6
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,7
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
