year,Ilene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,6
1896,5
1897,7
1898,6
1899,12
1900,7
1901,11
1902,13
1903,11
1904,14
1905,17
1906,18
1907,22
1908,24
1909,24
1910,33
1911,34
1912,42
1913,63
1914,83
1915,128
1916,138
1917,152
1918,186
1919,206
1920,192
1921,222
1922,241
1923,242
1924,275
1925,271
1926,313
1927,327
1928,273
1929,250
1930,256
1931,285
1932,222
1933,242
1934,223
1935,219
1936,263
1937,248
1938,343
1939,283
1940,227
1941,235
1942,287
1943,272
1944,280
1945,313
1946,386
1947,413
1948,404
1949,385
1950,453
1951,425
1952,382
1953,333
1954,346
1955,324
1956,301
1957,306
1958,293
1959,266
1960,274
1961,230
1962,248
1963,180
1964,205
1965,185
1966,144
1967,153
1968,131
1969,116
1970,112
1971,93
1972,81
1973,70
1974,55
1975,59
1976,71
1977,52
1978,66
1979,59
1980,56
1981,66
1982,55
1983,63
1984,63
1985,71
1986,64
1987,61
1988,59
1989,65
1990,59
1991,65
1992,35
1993,32
1994,35
1995,52
1996,38
1997,47
1998,71
1999,74
2000,65
2001,59
2002,50
2003,67
2004,65
2005,53
2006,73
2007,72
2008,64
2009,38
2010,41
2011,38
2012,45
