year,Isadora
1880,5
1881,0
1882,9
1883,0
1884,9
1885,5
1886,0
1887,0
1888,5
1889,6
1890,9
1891,8
1892,6
1893,0
1894,7
1895,8
1896,10
1897,8
1898,6
1899,7
1900,15
1901,7
1902,7
1903,8
1904,5
1905,11
1906,14
1907,10
1908,10
1909,6
1910,6
1911,11
1912,18
1913,15
1914,15
1915,36
1916,25
1917,22
1918,21
1919,22
1920,13
1921,21
1922,27
1923,26
1924,22
1925,23
1926,28
1927,14
1928,18
1929,18
1930,10
1931,9
1932,16
1933,16
1934,14
1935,7
1936,14
1937,15
1938,7
1939,12
1940,13
1941,5
1942,6
1943,10
1944,13
1945,9
1946,5
1947,10
1948,7
1949,7
1950,7
1951,0
1952,10
1953,9
1954,9
1955,0
1956,8
1957,6
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,7
1970,7
1971,5
1972,11
1973,15
1974,13
1975,5
1976,12
1977,20
1978,12
1979,13
1980,10
1981,17
1982,12
1983,10
1984,14
1985,9
1986,12
1987,9
1988,13
1989,12
1990,18
1991,19
1992,25
1993,17
1994,24
1995,20
1996,20
1997,31
1998,20
1999,31
2000,40
2001,53
2002,44
2003,60
2004,74
2005,81
2006,132
2007,137
2008,131
2009,119
2010,122
2011,143
2012,148
