year,Rea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,6
1894,0
1895,0
1896,0
1897,0
1898,10
1899,0
1900,8
1901,6
1902,0
1903,5
1904,5
1905,0
1906,0
1907,13
1908,8
1909,12
1910,17
1911,7
1912,16
1913,15
1914,22
1915,13
1916,22
1917,16
1918,32
1919,18
1920,27
1921,26
1922,23
1923,28
1924,22
1925,19
1926,29
1927,27
1928,18
1929,30
1930,18
1931,15
1932,31
1933,27
1934,12
1935,30
1936,23
1937,14
1938,17
1939,22
1940,15
1941,16
1942,24
1943,16
1944,16
1945,12
1946,25
1947,24
1948,15
1949,27
1950,18
1951,24
1952,22
1953,20
1954,21
1955,20
1956,25
1957,20
1958,34
1959,21
1960,11
1961,18
1962,17
1963,12
1964,17
1965,19
1966,10
1967,13
1968,11
1969,9
1970,11
1971,12
1972,12
1973,15
1974,16
1975,8
1976,13
1977,15
1978,10
1979,17
1980,12
1981,17
1982,12
1983,12
1984,9
1985,11
1986,13
1987,11
1988,0
1989,9
1990,11
1991,16
1992,14
1993,8
1994,11
1995,10
1996,13
1997,13
1998,17
1999,16
2000,17
2001,19
2002,23
2003,12
2004,17
2005,14
2006,18
2007,11
2008,13
2009,11
2010,6
2011,7
2012,14
