year,Rainey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,0
1913,10
1914,12
1915,7
1916,10
1917,5
1918,6
1919,7
1920,17
1921,0
1922,11
1923,7
1924,8
1925,6
1926,5
1927,6
1928,5
1929,11
1930,6
1931,5
1932,5
1933,6
1934,9
1935,6
1936,6
1937,0
1938,9
1939,6
1940,9
1941,0
1942,5
1943,0
1944,9
1945,0
1946,9
1947,5
1948,0
1949,0
1950,13
1951,15
1952,0
1953,0
1954,0
1955,0
1956,9
1957,7
1958,21
1959,14
1960,11
1961,0
1962,12
1963,6
1964,11
1965,9
1966,12
1967,12
1968,13
1969,12
1970,20
1971,8
1972,15
1973,8
1974,18
1975,15
1976,16
1977,14
1978,23
1979,14
1980,21
1981,16
1982,11
1983,17
1984,13
1985,7
1986,19
1987,27
1988,21
1989,30
1990,30
1991,44
1992,31
1993,29
1994,40
1995,45
1996,54
1997,38
1998,46
1999,40
2000,55
2001,45
2002,51
2003,54
2004,45
2005,48
2006,35
2007,48
2008,63
2009,50
2010,48
2011,40
2012,41
