year,Romona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,8
1909,6
1910,0
1911,0
1912,7
1913,8
1914,10
1915,9
1916,16
1917,15
1918,21
1919,11
1920,21
1921,31
1922,19
1923,18
1924,22
1925,24
1926,30
1927,31
1928,138
1929,131
1930,87
1931,70
1932,80
1933,83
1934,53
1935,47
1936,63
1937,76
1938,66
1939,74
1940,55
1941,49
1942,53
1943,62
1944,41
1945,32
1946,62
1947,74
1948,67
1949,88
1950,70
1951,99
1952,97
1953,129
1954,110
1955,148
1956,125
1957,126
1958,125
1959,124
1960,136
1961,134
1962,144
1963,118
1964,114
1965,112
1966,111
1967,137
1968,114
1969,105
1970,100
1971,89
1972,74
1973,64
1974,67
1975,52
1976,30
1977,45
1978,37
1979,38
1980,30
1981,20
1982,26
1983,26
1984,19
1985,23
1986,14
1987,17
1988,9
1989,11
1990,9
1991,8
1992,15
1993,6
1994,7
1995,0
1996,6
1997,5
1998,5
1999,5
2000,9
2001,9
2002,0
2003,0
2004,6
2005,5
2006,0
2007,0
2008,5
2009,0
2010,5
2011,6
2012,6
