year,Rodolfo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,7
1905,0
1906,9
1907,8
1908,6
1909,5
1910,11
1911,9
1912,19
1913,31
1914,30
1915,45
1916,40
1917,54
1918,53
1919,67
1920,73
1921,91
1922,93
1923,118
1924,126
1925,173
1926,182
1927,218
1928,226
1929,207
1930,203
1931,163
1932,146
1933,136
1934,148
1935,145
1936,131
1937,115
1938,119
1939,126
1940,123
1941,132
1942,144
1943,171
1944,162
1945,200
1946,233
1947,212
1948,228
1949,250
1950,266
1951,301
1952,302
1953,339
1954,341
1955,297
1956,282
1957,299
1958,304
1959,296
1960,317
1961,302
1962,320
1963,280
1964,325
1965,318
1966,311
1967,330
1968,316
1969,281
1970,393
1971,351
1972,391
1973,374
1974,383
1975,452
1976,426
1977,415
1978,437
1979,448
1980,571
1981,608
1982,557
1983,475
1984,448
1985,470
1986,567
1987,511
1988,446
1989,564
1990,581
1991,574
1992,600
1993,586
1994,600
1995,540
1996,546
1997,508
1998,579
1999,571
2000,586
2001,494
2002,452
2003,493
2004,490
2005,496
2006,495
2007,426
2008,355
2009,303
2010,300
2011,255
2012,221
