year,Rosamond
1880,0
1881,8
1882,0
1883,9
1884,5
1885,7
1886,7
1887,11
1888,7
1889,7
1890,8
1891,9
1892,6
1893,14
1894,12
1895,20
1896,16
1897,7
1898,23
1899,16
1900,18
1901,21
1902,24
1903,30
1904,21
1905,28
1906,30
1907,37
1908,37
1909,37
1910,49
1911,53
1912,71
1913,79
1914,87
1915,104
1916,111
1917,111
1918,111
1919,79
1920,86
1921,106
1922,99
1923,88
1924,92
1925,111
1926,85
1927,106
1928,66
1929,62
1930,63
1931,54
1932,56
1933,47
1934,35
1935,31
1936,43
1937,27
1938,32
1939,32
1940,23
1941,25
1942,30
1943,32
1944,22
1945,19
1946,30
1947,37
1948,25
1949,22
1950,26
1951,22
1952,17
1953,19
1954,11
1955,16
1956,17
1957,13
1958,19
1959,9
1960,10
1961,8
1962,8
1963,6
1964,0
1965,0
1966,0
1967,7
1968,5
1969,5
1970,5
1971,8
1972,5
1973,0
1974,0
1975,0
1976,7
1977,5
1978,9
1979,6
1980,7
1981,6
1982,0
1983,6
1984,9
1985,5
1986,0
1987,0
1988,0
1989,5
1990,6
1991,0
1992,5
1993,0
1994,6
1995,0
1996,6
1997,0
1998,5
1999,5
2000,0
2001,0
2002,0
2003,6
2004,5
2005,0
2006,6
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
