year,Rosalind
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,10
1890,13
1891,13
1892,6
1893,11
1894,14
1895,18
1896,19
1897,24
1898,26
1899,14
1900,20
1901,26
1902,18
1903,26
1904,38
1905,35
1906,27
1907,42
1908,36
1909,46
1910,55
1911,66
1912,86
1913,117
1914,163
1915,156
1916,190
1917,192
1918,201
1919,177
1920,210
1921,221
1922,238
1923,249
1924,243
1925,214
1926,203
1927,207
1928,151
1929,157
1930,130
1931,124
1932,125
1933,110
1934,119
1935,156
1936,195
1937,295
1938,265
1939,336
1940,368
1941,409
1942,537
1943,516
1944,337
1945,369
1946,444
1947,455
1948,499
1949,475
1950,571
1951,505
1952,501
1953,516
1954,465
1955,423
1956,571
1957,544
1958,585
1959,650
1960,650
1961,624
1962,634
1963,546
1964,544
1965,649
1966,506
1967,460
1968,371
1969,366
1970,367
1971,297
1972,266
1973,214
1974,184
1975,188
1976,202
1977,178
1978,155
1979,117
1980,99
1981,93
1982,104
1983,97
1984,105
1985,97
1986,90
1987,79
1988,77
1989,80
1990,79
1991,73
1992,67
1993,49
1994,50
1995,43
1996,48
1997,45
1998,40
1999,42
2000,38
2001,39
2002,40
2003,48
2004,45
2005,35
2006,40
2007,49
2008,33
2009,36
2010,49
2011,62
2012,74
