year,Remigio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,6
1914,0
1915,6
1916,0
1917,7
1918,5
1919,9
1920,11
1921,10
1922,7
1923,9
1924,12
1925,11
1926,7
1927,11
1928,7
1929,7
1930,5
1931,5
1932,8
1933,8
1934,5
1935,0
1936,0
1937,11
1938,5
1939,0
1940,0
1941,5
1942,7
1943,0
1944,8
1945,6
1946,0
1947,10
1948,6
1949,8
1950,10
1951,8
1952,5
1953,0
1954,10
1955,9
1956,7
1957,0
1958,0
1959,10
1960,8
1961,7
1962,10
1963,11
1964,7
1965,5
1966,8
1967,7
1968,7
1969,6
1970,7
1971,6
1972,7
1973,7
1974,7
1975,9
1976,11
1977,14
1978,12
1979,6
1980,5
1981,9
1982,9
1983,7
1984,0
1985,7
1986,7
1987,12
1988,15
1989,11
1990,13
1991,10
1992,10
1993,0
1994,7
1995,13
1996,13
1997,7
1998,12
1999,10
2000,13
2001,13
2002,5
2003,8
2004,15
2005,0
2006,14
2007,13
2008,6
2009,5
2010,0
2011,8
2012,9
