year,Rivers
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,6
1912,7
1913,10
1914,6
1915,12
1916,5
1917,6
1918,0
1919,8
1920,16
1921,10
1922,19
1923,11
1924,10
1925,9
1926,6
1927,8
1928,6
1929,10
1930,5
1931,0
1932,5
1933,6
1934,0
1935,0
1936,10
1937,9
1938,11
1939,5
1940,7
1941,10
1942,6
1943,5
1944,0
1945,6
1946,7
1947,7
1948,5
1949,7
1950,0
1951,6
1952,0
1953,5
1954,5
1955,0
1956,0
1957,8
1958,0
1959,5
1960,5
1961,0
1962,6
1963,0
1964,6
1965,5
1966,0
1967,0
1968,0
1969,0
1970,11
1971,5
1972,0
1973,0
1974,7
1975,0
1976,0
1977,0
1978,5
1979,5
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,9
1992,8
1993,8
1994,8
1995,14
1996,12
1997,25
1998,6
1999,21
2000,34
2001,60
2002,64
2003,52
2004,52
2005,55
2006,47
2007,59
2008,54
2009,62
2010,79
2011,90
2012,77
