year,Russel
1880,8
1881,10
1882,5
1883,0
1884,5
1885,5
1886,9
1887,8
1888,12
1889,11
1890,15
1891,22
1892,20
1893,19
1894,26
1895,18
1896,26
1897,20
1898,29
1899,27
1900,46
1901,28
1902,31
1903,33
1904,29
1905,29
1906,38
1907,38
1908,41
1909,39
1910,50
1911,70
1912,142
1913,196
1914,216
1915,305
1916,274
1917,305
1918,306
1919,317
1920,394
1921,384
1922,325
1923,350
1924,334
1925,339
1926,329
1927,305
1928,280
1929,260
1930,225
1931,187
1932,214
1933,199
1934,175
1935,167
1936,174
1937,183
1938,170
1939,140
1940,152
1941,151
1942,161
1943,172
1944,165
1945,177
1946,182
1947,202
1948,200
1949,176
1950,158
1951,181
1952,176
1953,157
1954,168
1955,187
1956,205
1957,198
1958,175
1959,194
1960,218
1961,192
1962,200
1963,196
1964,148
1965,151
1966,141
1967,154
1968,162
1969,166
1970,144
1971,176
1972,113
1973,130
1974,101
1975,127
1976,98
1977,85
1978,94
1979,101
1980,120
1981,107
1982,117
1983,82
1984,98
1985,73
1986,81
1987,84
1988,64
1989,88
1990,80
1991,75
1992,56
1993,54
1994,60
1995,53
1996,48
1997,45
1998,49
1999,29
2000,36
2001,37
2002,47
2003,37
2004,33
2005,35
2006,40
2007,29
2008,30
2009,31
2010,39
2011,20
2012,26
