year,Rexford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,5
1893,7
1894,0
1895,0
1896,5
1897,8
1898,6
1899,0
1900,5
1901,6
1902,6
1903,0
1904,5
1905,5
1906,6
1907,0
1908,0
1909,10
1910,7
1911,6
1912,19
1913,29
1914,34
1915,50
1916,41
1917,46
1918,46
1919,52
1920,31
1921,47
1922,47
1923,49
1924,32
1925,53
1926,31
1927,35
1928,22
1929,31
1930,32
1931,17
1932,24
1933,37
1934,29
1935,44
1936,42
1937,30
1938,27
1939,32
1940,33
1941,24
1942,35
1943,27
1944,37
1945,35
1946,33
1947,39
1948,38
1949,17
1950,31
1951,48
1952,34
1953,40
1954,33
1955,35
1956,31
1957,27
1958,22
1959,18
1960,21
1961,20
1962,21
1963,18
1964,18
1965,16
1966,12
1967,24
1968,21
1969,21
1970,19
1971,23
1972,19
1973,11
1974,15
1975,19
1976,6
1977,17
1978,8
1979,11
1980,8
1981,12
1982,9
1983,12
1984,12
1985,14
1986,15
1987,8
1988,16
1989,9
1990,12
1991,9
1992,12
1993,17
1994,9
1995,11
1996,11
1997,0
1998,9
1999,11
2000,8
2001,0
2002,8
2003,6
2004,7
2005,9
2006,8
2007,10
2008,12
2009,11
2010,16
2011,10
2012,8
