year,Rachael
1880,12
1881,8
1882,8
1883,9
1884,7
1885,8
1886,14
1887,13
1888,18
1889,16
1890,8
1891,17
1892,19
1893,16
1894,21
1895,26
1896,19
1897,18
1898,19
1899,22
1900,44
1901,19
1902,19
1903,32
1904,24
1905,23
1906,28
1907,21
1908,23
1909,21
1910,45
1911,43
1912,59
1913,60
1914,67
1915,96
1916,161
1917,145
1918,139
1919,118
1920,119
1921,144
1922,115
1923,103
1924,96
1925,83
1926,92
1927,86
1928,67
1929,58
1930,64
1931,34
1932,52
1933,50
1934,47
1935,50
1936,48
1937,55
1938,61
1939,60
1940,67
1941,65
1942,70
1943,61
1944,69
1945,55
1946,75
1947,77
1948,85
1949,101
1950,88
1951,93
1952,98
1953,143
1954,148
1955,115
1956,121
1957,123
1958,182
1959,140
1960,150
1961,189
1962,179
1963,195
1964,201
1965,216
1966,263
1967,446
1968,491
1969,725
1970,886
1971,850
1972,979
1973,972
1974,1193
1975,1383
1976,1444
1977,1491
1978,1701
1979,1863
1980,2060
1981,2143
1982,2485
1983,2422
1984,2660
1985,2768
1986,2709
1987,2848
1988,2839
1989,2847
1990,3035
1991,2915
1992,2745
1993,2749
1994,2553
1995,2605
1996,2485
1997,2038
1998,1743
1999,1654
2000,1389
2001,1301
2002,1041
2003,970
2004,850
2005,797
2006,813
2007,834
2008,657
2009,491
2010,407
2011,321
2012,294
