year,Rena
1880,74
1881,88
1882,103
1883,105
1884,94
1885,148
1886,119
1887,155
1888,172
1889,161
1890,192
1891,173
1892,181
1893,186
1894,217
1895,189
1896,203
1897,193
1898,218
1899,193
1900,235
1901,215
1902,230
1903,217
1904,225
1905,204
1906,188
1907,209
1908,201
1909,193
1910,253
1911,260
1912,319
1913,306
1914,387
1915,519
1916,578
1917,522
1918,518
1919,517
1920,494
1921,550
1922,518
1923,486
1924,521
1925,452
1926,445
1927,439
1928,438
1929,409
1930,373
1931,341
1932,352
1933,327
1934,354
1935,354
1936,296
1937,353
1938,303
1939,326
1940,316
1941,319
1942,348
1943,389
1944,316
1945,335
1946,374
1947,393
1948,407
1949,393
1950,369
1951,395
1952,414
1953,429
1954,427
1955,471
1956,471
1957,479
1958,497
1959,503
1960,528
1961,529
1962,576
1963,482
1964,537
1965,447
1966,426
1967,398
1968,416
1969,400
1970,400
1971,359
1972,324
1973,265
1974,269
1975,286
1976,247
1977,274
1978,260
1979,244
1980,303
1981,288
1982,307
1983,258
1984,227
1985,193
1986,190
1987,185
1988,195
1989,177
1990,160
1991,151
1992,149
1993,127
1994,102
1995,115
1996,135
1997,99
1998,110
1999,125
2000,126
2001,131
2002,116
2003,131
2004,98
2005,108
2006,113
2007,107
2008,86
2009,88
2010,100
2011,67
2012,74
