year,Rossie
1880,0
1881,0
1882,0
1883,7
1884,0
1885,10
1886,15
1887,14
1888,17
1889,14
1890,13
1891,28
1892,18
1893,16
1894,16
1895,25
1896,25
1897,19
1898,18
1899,14
1900,37
1901,17
1902,19
1903,21
1904,21
1905,14
1906,28
1907,28
1908,14
1909,35
1910,31
1911,14
1912,41
1913,36
1914,69
1915,55
1916,49
1917,54
1918,53
1919,90
1920,62
1921,60
1922,41
1923,38
1924,50
1925,53
1926,42
1927,39
1928,53
1929,41
1930,37
1931,31
1932,39
1933,36
1934,43
1935,39
1936,26
1937,22
1938,30
1939,22
1940,19
1941,19
1942,31
1943,28
1944,23
1945,19
1946,26
1947,28
1948,30
1949,21
1950,26
1951,23
1952,21
1953,18
1954,12
1955,22
1956,15
1957,16
1958,26
1959,5
1960,21
1961,13
1962,6
1963,6
1964,11
1965,14
1966,18
1967,6
1968,9
1969,5
1970,16
1971,0
1972,0
1973,13
1974,0
1975,8
1976,0
1977,7
1978,6
1979,13
1980,5
1981,6
1982,6
1983,6
1984,6
1985,0
1986,5
1987,5
1988,0
1989,11
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,5
1997,5
1998,7
1999,0
2000,0
2001,0
2002,0
2003,5
2004,5
2005,5
2006,0
2007,5
2008,5
2009,0
2010,0
2011,0
2012,0
