year,Rome
1880,0
1881,0
1882,7
1883,5
1884,5
1885,9
1886,0
1887,5
1888,10
1889,0
1890,0
1891,0
1892,5
1893,9
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,6
1913,0
1914,6
1915,7
1916,16
1917,7
1918,9
1919,7
1920,11
1921,16
1922,16
1923,9
1924,13
1925,12
1926,13
1927,0
1928,12
1929,10
1930,0
1931,7
1932,6
1933,11
1934,0
1935,8
1936,0
1937,0
1938,6
1939,5
1940,0
1941,0
1942,0
1943,8
1944,8
1945,5
1946,0
1947,9
1948,8
1949,6
1950,9
1951,15
1952,14
1953,6
1954,8
1955,15
1956,11
1957,0
1958,11
1959,9
1960,12
1961,11
1962,0
1963,7
1964,13
1965,6
1966,9
1967,6
1968,9
1969,24
1970,24
1971,23
1972,11
1973,8
1974,12
1975,16
1976,12
1977,7
1978,11
1979,6
1980,5
1981,7
1982,5
1983,15
1984,12
1985,7
1986,15
1987,8
1988,8
1989,5
1990,6
1991,16
1992,7
1993,0
1994,9
1995,12
1996,9
1997,19
1998,24
1999,22
2000,20
2001,30
2002,31
2003,24
2004,47
2005,59
2006,68
2007,84
2008,84
2009,89
2010,80
2011,118
2012,99
