year,Romie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,6
1892,5
1893,10
1894,5
1895,0
1896,5
1897,0
1898,7
1899,8
1900,0
1901,9
1902,5
1903,6
1904,13
1905,9
1906,8
1907,11
1908,15
1909,10
1910,10
1911,5
1912,21
1913,28
1914,31
1915,33
1916,37
1917,40
1918,56
1919,42
1920,51
1921,39
1922,43
1923,40
1924,43
1925,40
1926,34
1927,28
1928,38
1929,29
1930,22
1931,21
1932,30
1933,28
1934,33
1935,24
1936,27
1937,33
1938,28
1939,23
1940,31
1941,29
1942,29
1943,33
1944,22
1945,13
1946,19
1947,29
1948,27
1949,27
1950,21
1951,18
1952,16
1953,18
1954,18
1955,23
1956,20
1957,15
1958,18
1959,16
1960,16
1961,0
1962,14
1963,17
1964,17
1965,11
1966,16
1967,10
1968,17
1969,10
1970,8
1971,10
1972,7
1973,13
1974,15
1975,8
1976,9
1977,7
1978,7
1979,12
1980,15
1981,7
1982,9
1983,6
1984,0
1985,5
1986,0
1987,8
1988,14
1989,8
1990,0
1991,7
1992,0
1993,10
1994,0
1995,0
1996,6
1997,14
1998,17
1999,15
2000,10
2001,10
2002,6
2003,14
2004,22
2005,13
2006,14
2007,12
2008,8
2009,13
2010,24
2011,16
2012,21
