year,Raphael
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,7
1887,5
1888,0
1889,11
1890,0
1891,9
1892,13
1893,11
1894,9
1895,9
1896,9
1897,13
1898,13
1899,10
1900,8
1901,13
1902,15
1903,9
1904,10
1905,13
1906,13
1907,19
1908,30
1909,12
1910,19
1911,30
1912,61
1913,68
1914,104
1915,108
1916,127
1917,93
1918,108
1919,106
1920,109
1921,108
1922,138
1923,100
1924,119
1925,99
1926,88
1927,96
1928,106
1929,96
1930,103
1931,85
1932,78
1933,78
1934,59
1935,54
1936,68
1937,63
1938,50
1939,75
1940,78
1941,63
1942,74
1943,58
1944,48
1945,60
1946,66
1947,77
1948,83
1949,69
1950,65
1951,71
1952,88
1953,85
1954,110
1955,93
1956,94
1957,97
1958,99
1959,97
1960,93
1961,114
1962,114
1963,99
1964,102
1965,95
1966,115
1967,110
1968,130
1969,162
1970,177
1971,186
1972,191
1973,193
1974,162
1975,188
1976,182
1977,188
1978,171
1979,170
1980,158
1981,172
1982,197
1983,182
1984,212
1985,260
1986,277
1987,258
1988,311
1989,311
1990,448
1991,370
1992,311
1993,270
1994,258
1995,251
1996,254
1997,259
1998,262
1999,266
2000,304
2001,266
2002,269
2003,251
2004,304
2005,316
2006,331
2007,332
2008,396
2009,405
2010,366
2011,354
2012,387
