year,Roma
1880,0
1881,0
1882,0
1883,5
1884,8
1885,7
1886,12
1887,14
1888,9
1889,12
1890,15
1891,19
1892,9
1893,13
1894,14
1895,18
1896,14
1897,19
1898,15
1899,21
1900,36
1901,37
1902,18
1903,34
1904,36
1905,38
1906,33
1907,39
1908,36
1909,50
1910,52
1911,70
1912,74
1913,77
1914,93
1915,131
1916,167
1917,134
1918,156
1919,152
1920,149
1921,149
1922,180
1923,144
1924,169
1925,156
1926,145
1927,150
1928,134
1929,174
1930,184
1931,142
1932,150
1933,126
1934,150
1935,146
1936,142
1937,119
1938,171
1939,119
1940,133
1941,102
1942,101
1943,122
1944,80
1945,88
1946,103
1947,80
1948,71
1949,70
1950,87
1951,70
1952,82
1953,84
1954,71
1955,77
1956,72
1957,57
1958,64
1959,59
1960,61
1961,61
1962,39
1963,50
1964,44
1965,46
1966,37
1967,40
1968,27
1969,29
1970,26
1971,30
1972,26
1973,16
1974,14
1975,15
1976,11
1977,15
1978,26
1979,8
1980,9
1981,25
1982,11
1983,10
1984,20
1985,18
1986,14
1987,26
1988,18
1989,12
1990,17
1991,19
1992,16
1993,14
1994,19
1995,13
1996,24
1997,33
1998,35
1999,38
2000,28
2001,38
2002,40
2003,30
2004,45
2005,39
2006,31
2007,47
2008,38
2009,37
2010,52
2011,31
2012,37
