year,Reynolds
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,0
1899,0
1900,0
1901,7
1902,0
1903,6
1904,0
1905,0
1906,0
1907,5
1908,0
1909,5
1910,0
1911,5
1912,14
1913,20
1914,28
1915,25
1916,31
1917,30
1918,18
1919,10
1920,21
1921,24
1922,19
1923,31
1924,27
1925,25
1926,20
1927,26
1928,19
1929,16
1930,15
1931,20
1932,13
1933,22
1934,25
1935,27
1936,17
1937,19
1938,20
1939,14
1940,19
1941,22
1942,27
1943,21
1944,14
1945,27
1946,23
1947,14
1948,18
1949,14
1950,14
1951,20
1952,23
1953,18
1954,20
1955,23
1956,15
1957,15
1958,12
1959,21
1960,15
1961,13
1962,16
1963,19
1964,10
1965,14
1966,14
1967,11
1968,15
1969,9
1970,13
1971,11
1972,8
1973,6
1974,8
1975,11
1976,7
1977,12
1978,0
1979,8
1980,8
1981,0
1982,7
1983,9
1984,6
1985,11
1986,8
1987,11
1988,11
1989,5
1990,7
1991,8
1992,6
1993,8
1994,7
1995,6
1996,7
1997,11
1998,0
1999,8
2000,5
2001,9
2002,0
2003,0
2004,9
2005,9
2006,13
2007,5
2008,15
2009,7
2010,11
2011,12
2012,9
