year,Ramona
1880,0
1881,7
1882,6
1883,7
1884,6
1885,0
1886,0
1887,9
1888,12
1889,8
1890,12
1891,11
1892,19
1893,19
1894,18
1895,29
1896,27
1897,24
1898,33
1899,40
1900,29
1901,26
1902,44
1903,35
1904,45
1905,53
1906,65
1907,71
1908,70
1909,53
1910,84
1911,81
1912,132
1913,196
1914,207
1915,231
1916,283
1917,296
1918,358
1919,344
1920,375
1921,390
1922,339
1923,390
1924,429
1925,460
1926,467
1927,567
1928,2248
1929,2050
1930,1415
1931,1142
1932,1055
1933,952
1934,929
1935,891
1936,869
1937,1024
1938,1006
1939,888
1940,839
1941,794
1942,756
1943,795
1944,676
1945,656
1946,724
1947,873
1948,831
1949,876
1950,1035
1951,1112
1952,1229
1953,1460
1954,1617
1955,1652
1956,1651
1957,1713
1958,1558
1959,1657
1960,1559
1961,1637
1962,1529
1963,1435
1964,1355
1965,1283
1966,1151
1967,1017
1968,1040
1969,977
1970,920
1971,821
1972,688
1973,605
1974,526
1975,513
1976,445
1977,519
1978,387
1979,393
1980,317
1981,306
1982,283
1983,272
1984,199
1985,220
1986,189
1987,216
1988,201
1989,163
1990,138
1991,148
1992,153
1993,106
1994,124
1995,110
1996,100
1997,72
1998,70
1999,91
2000,78
2001,78
2002,78
2003,82
2004,76
2005,87
2006,82
2007,95
2008,115
2009,108
2010,126
2011,174
2012,197
