year,Reuel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,5
1896,0
1897,5
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,12
1914,10
1915,11
1916,11
1917,12
1918,16
1919,9
1920,23
1921,13
1922,15
1923,8
1924,11
1925,14
1926,9
1927,8
1928,10
1929,9
1930,7
1931,6
1932,16
1933,12
1934,8
1935,0
1936,11
1937,6
1938,10
1939,7
1940,6
1941,8
1942,0
1943,7
1944,10
1945,6
1946,8
1947,9
1948,0
1949,8
1950,6
1951,0
1952,10
1953,6
1954,9
1955,7
1956,7
1957,5
1958,7
1959,15
1960,0
1961,5
1962,0
1963,5
1964,5
1965,8
1966,0
1967,6
1968,9
1969,0
1970,5
1971,6
1972,0
1973,0
1974,9
1975,0
1976,7
1977,0
1978,6
1979,6
1980,10
1981,6
1982,0
1983,6
1984,0
1985,0
1986,7
1987,5
1988,0
1989,7
1990,6
1991,5
1992,6
1993,10
1994,0
1995,0
1996,5
1997,7
1998,6
1999,6
2000,9
2001,5
2002,7
2003,8
2004,7
2005,7
2006,10
2007,7
2008,12
2009,5
2010,10
2011,10
2012,18
