year,Ruthie
1880,5
1881,6
1882,6
1883,6
1884,5
1885,7
1886,0
1887,9
1888,10
1889,12
1890,6
1891,11
1892,12
1893,17
1894,15
1895,27
1896,24
1897,22
1898,22
1899,18
1900,21
1901,26
1902,22
1903,27
1904,25
1905,31
1906,42
1907,39
1908,47
1909,38
1910,59
1911,63
1912,89
1913,96
1914,107
1915,121
1916,146
1917,148
1918,177
1919,191
1920,233
1921,244
1922,250
1923,321
1924,374
1925,381
1926,412
1927,426
1928,384
1929,390
1930,404
1931,360
1932,364
1933,366
1934,377
1935,403
1936,370
1937,385
1938,387
1939,393
1940,401
1941,357
1942,411
1943,374
1944,393
1945,376
1946,422
1947,412
1948,399
1949,396
1950,378
1951,312
1952,378
1953,366
1954,332
1955,310
1956,327
1957,322
1958,284
1959,287
1960,272
1961,232
1962,211
1963,196
1964,191
1965,150
1966,120
1967,111
1968,94
1969,84
1970,91
1971,86
1972,73
1973,57
1974,62
1975,51
1976,43
1977,36
1978,34
1979,57
1980,65
1981,33
1982,37
1983,41
1984,29
1985,36
1986,18
1987,34
1988,46
1989,26
1990,25
1991,24
1992,19
1993,24
1994,15
1995,18
1996,26
1997,22
1998,28
1999,39
2000,28
2001,42
2002,58
2003,57
2004,80
2005,75
2006,92
2007,73
2008,112
2009,98
2010,102
2011,89
2012,94
