year,Raye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,5
1899,0
1900,5
1901,0
1902,6
1903,0
1904,6
1905,0
1906,6
1907,8
1908,7
1909,0
1910,13
1911,10
1912,21
1913,11
1914,21
1915,26
1916,27
1917,24
1918,27
1919,14
1920,31
1921,25
1922,24
1923,22
1924,26
1925,21
1926,26
1927,17
1928,29
1929,21
1930,21
1931,13
1932,28
1933,23
1934,24
1935,16
1936,19
1937,25
1938,27
1939,35
1940,29
1941,33
1942,40
1943,51
1944,46
1945,44
1946,52
1947,41
1948,50
1949,40
1950,49
1951,43
1952,52
1953,54
1954,52
1955,57
1956,74
1957,57
1958,45
1959,41
1960,43
1961,51
1962,53
1963,45
1964,46
1965,28
1966,22
1967,24
1968,29
1969,26
1970,26
1971,36
1972,11
1973,18
1974,9
1975,19
1976,13
1977,15
1978,12
1979,8
1980,10
1981,10
1982,15
1983,8
1984,5
1985,5
1986,11
1987,8
1988,6
1989,9
1990,7
1991,13
1992,7
1993,5
1994,9
1995,6
1996,6
1997,9
1998,11
1999,10
2000,6
2001,12
2002,9
2003,0
2004,0
2005,6
2006,0
2007,6
2008,0
2009,5
2010,0
2011,9
2012,11
