year,Ruel
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,5
1892,7
1893,10
1894,7
1895,0
1896,0
1897,6
1898,7
1899,5
1900,7
1901,6
1902,0
1903,11
1904,0
1905,7
1906,9
1907,7
1908,6
1909,9
1910,8
1911,6
1912,21
1913,29
1914,28
1915,49
1916,32
1917,29
1918,29
1919,34
1920,30
1921,38
1922,38
1923,38
1924,47
1925,46
1926,34
1927,41
1928,28
1929,32
1930,32
1931,23
1932,26
1933,37
1934,26
1935,15
1936,30
1937,20
1938,21
1939,30
1940,19
1941,17
1942,22
1943,14
1944,19
1945,17
1946,25
1947,17
1948,15
1949,15
1950,22
1951,17
1952,11
1953,15
1954,14
1955,16
1956,16
1957,16
1958,13
1959,14
1960,18
1961,10
1962,9
1963,8
1964,11
1965,8
1966,12
1967,15
1968,16
1969,9
1970,13
1971,15
1972,9
1973,9
1974,10
1975,7
1976,12
1977,10
1978,6
1979,8
1980,9
1981,6
1982,6
1983,8
1984,6
1985,7
1986,11
1987,8
1988,6
1989,12
1990,14
1991,10
1992,10
1993,13
1994,8
1995,9
1996,0
1997,6
1998,10
1999,6
2000,6
2001,8
2002,9
2003,8
2004,12
2005,8
2006,0
2007,0
2008,0
2009,5
2010,11
2011,9
2012,7
