year,Reva
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,10
1891,11
1892,12
1893,9
1894,13
1895,16
1896,32
1897,36
1898,36
1899,37
1900,58
1901,49
1902,48
1903,37
1904,54
1905,56
1906,67
1907,79
1908,73
1909,72
1910,91
1911,95
1912,121
1913,164
1914,175
1915,260
1916,277
1917,289
1918,304
1919,291
1920,329
1921,351
1922,301
1923,307
1924,339
1925,315
1926,317
1927,306
1928,282
1929,266
1930,249
1931,252
1932,280
1933,239
1934,276
1935,226
1936,238
1937,206
1938,222
1939,191
1940,196
1941,192
1942,185
1943,197
1944,147
1945,181
1946,197
1947,173
1948,178
1949,153
1950,169
1951,175
1952,166
1953,135
1954,168
1955,172
1956,161
1957,160
1958,140
1959,137
1960,140
1961,120
1962,138
1963,101
1964,106
1965,93
1966,77
1967,72
1968,69
1969,72
1970,74
1971,71
1972,62
1973,48
1974,57
1975,38
1976,44
1977,44
1978,29
1979,36
1980,34
1981,36
1982,37
1983,43
1984,92
1985,115
1986,134
1987,132
1988,149
1989,134
1990,103
1991,76
1992,61
1993,48
1994,42
1995,35
1996,37
1997,33
1998,55
1999,26
2000,32
2001,28
2002,40
2003,47
2004,43
2005,42
2006,51
2007,55
2008,42
2009,43
2010,40
2011,44
2012,59
