year,Raymond (F),Raymond (M)
1880,0.000000,0.000819
1881,0.000000,0.001012
1882,0.000000,0.001038
1883,0.000000,0.001074
1884,0.000000,0.001228
1885,0.000000,0.001279
1886,0.000000,0.001383
1887,0.000000,0.001504
1888,0.000000,0.001566
1889,0.000000,0.001768
1890,0.000000,0.001812
1891,0.000000,0.002006
1892,0.000000,0.002037
1893,0.000000,0.002162
1894,0.000000,0.002265
1895,0.000000,0.002296
1896,0.000017,0.002403
1897,0.000014,0.002412
1898,0.000016,0.002435
1899,0.000000,0.002562
1900,0.000000,0.002554
1901,0.000000,0.002568
1902,0.000026,0.002751
1903,0.000000,0.002757
1904,0.000000,0.002709
1905,0.000014,0.002734
1906,0.000000,0.002644
1907,0.000017,0.002772
1908,0.000016,0.002826
1909,0.000012,0.002819
1910,0.000017,0.002941
1911,0.000012,0.003241
1912,0.000008,0.004427
1913,0.000015,0.004670
1914,0.000018,0.004816
1915,0.000017,0.004901
1916,0.000022,0.004945
1917,0.000025,0.004961
1918,0.000022,0.005345
1919,0.000017,0.005394
1920,0.000018,0.005389
1921,0.000020,0.005417
1922,0.000023,0.005298
1923,0.000023,0.005412
1924,0.000024,0.005404
1925,0.000024,0.005333
1926,0.000032,0.005578
1927,0.000040,0.005521
1928,0.000046,0.005285
1929,0.000035,0.005432
1930,0.000027,0.005269
1931,0.000034,0.005159
1932,0.000025,0.004899
1933,0.000027,0.004758
1934,0.000019,0.004617
1935,0.000022,0.004576
1936,0.000018,0.004551
1937,0.000018,0.004493
1938,0.000015,0.004397
1939,0.000022,0.004197
1940,0.000012,0.004156
1941,0.000020,0.004084
1942,0.000014,0.004067
1943,0.000014,0.004037
1944,0.000015,0.003953
1945,0.000015,0.003715
1946,0.000011,0.003531
1947,0.000009,0.003430
1948,0.000011,0.003363
1949,0.000010,0.003244
1950,0.000011,0.003191
1951,0.000010,0.003048
1952,0.000008,0.002958
1953,0.000011,0.002884
1954,0.000008,0.002824
1955,0.000009,0.002738
1956,0.000008,0.002694
1957,0.000009,0.002572
1958,0.000009,0.002474
1959,0.000011,0.002356
1960,0.000011,0.002341
1961,0.000012,0.002319
1962,0.000012,0.002247
1963,0.000010,0.002220
1964,0.000011,0.002210
1965,0.000010,0.002220
1966,0.000012,0.002123
1967,0.000013,0.002081
1968,0.000015,0.002038
1969,0.000013,0.001912
1970,0.000014,0.001882
1971,0.000012,0.001779
1972,0.000013,0.001733
1973,0.000016,0.001602
1974,0.000015,0.001506
1975,0.000011,0.001500
1976,0.000012,0.001391
1977,0.000015,0.001378
1978,0.000013,0.001303
1979,0.000011,0.001305
1980,0.000010,0.001329
1981,0.000009,0.001262
1982,0.000009,0.001225
1983,0.000009,0.001160
1984,0.000009,0.001140
1985,0.000008,0.001146
1986,0.000008,0.001140
1987,0.000011,0.001109
1988,0.000006,0.001092
1989,0.000005,0.001068
1990,0.000005,0.001028
1991,0.000005,0.000992
1992,0.000005,0.000934
1993,0.000002,0.000883
1994,0.000003,0.000845
1995,0.000002,0.000798
1996,0.000002,0.000772
1997,0.000002,0.000746
1998,0.000003,0.000719
1999,0.000002,0.000717
2000,0.000002,0.000636
2001,0.000000,0.000624
2002,0.000001,0.000583
2003,0.000000,0.000539
2004,0.000002,0.000538
2005,0.000002,0.000511
2006,0.000000,0.000516
2007,0.000000,0.000491
2008,0.000000,0.000452
2009,0.000000,0.000432
2010,0.000000,0.000429
2011,0.000000,0.000419
2012,0.000000,0.000400
2013,0.000000,0.000368
2014,0.000000,0.000380
2015,0.000000,0.000375
2016,0.000000,0.000348
2017,0.000000,0.000336
2018,0.000000,0.000330
2019,0.000000,0.000293
2020,0.000000,0.000317
