year,Rosemarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,5
1899,0
1900,7
1901,5
1902,7
1903,5
1904,6
1905,7
1906,11
1907,12
1908,23
1909,13
1910,21
1911,28
1912,39
1913,53
1914,80
1915,88
1916,87
1917,135
1918,153
1919,127
1920,174
1921,191
1922,188
1923,233
1924,296
1925,586
1926,724
1927,801
1928,913
1929,924
1930,926
1931,941
1932,866
1933,894
1934,888
1935,912
1936,1303
1937,1179
1938,1150
1939,1077
1940,1128
1941,1168
1942,1240
1943,1179
1944,1025
1945,895
1946,1067
1947,1154
1948,1048
1949,938
1950,849
1951,871
1952,707
1953,596
1954,738
1955,767
1956,808
1957,909
1958,909
1959,965
1960,997
1961,966
1962,942
1963,882
1964,839
1965,691
1966,562
1967,538
1968,500
1969,480
1970,485
1971,381
1972,271
1973,249
1974,271
1975,220
1976,212
1977,211
1978,209
1979,213
1980,246
1981,214
1982,255
1983,195
1984,168
1985,185
1986,174
1987,184
1988,188
1989,167
1990,172
1991,180
1992,162
1993,133
1994,127
1995,150
1996,115
1997,124
1998,113
1999,136
2000,137
2001,120
2002,117
2003,106
2004,97
2005,98
2006,103
2007,84
2008,94
2009,88
2010,78
2011,86
2012,106
