year,Rosy
1880,0
1881,0
1882,7
1883,0
1884,7
1885,0
1886,9
1887,9
1888,8
1889,9
1890,7
1891,8
1892,7
1893,0
1894,8
1895,0
1896,8
1897,5
1898,8
1899,8
1900,5
1901,0
1902,8
1903,10
1904,0
1905,7
1906,8
1907,12
1908,8
1909,6
1910,7
1911,0
1912,5
1913,5
1914,5
1915,10
1916,13
1917,19
1918,14
1919,15
1920,9
1921,10
1922,11
1923,12
1924,18
1925,13
1926,25
1927,19
1928,6
1929,11
1930,10
1931,9
1932,9
1933,9
1934,11
1935,0
1936,0
1937,5
1938,7
1939,9
1940,8
1941,9
1942,8
1943,0
1944,6
1945,0
1946,8
1947,0
1948,7
1949,8
1950,11
1951,7
1952,0
1953,13
1954,5
1955,8
1956,11
1957,15
1958,12
1959,11
1960,18
1961,14
1962,12
1963,5
1964,9
1965,11
1966,6
1967,5
1968,0
1969,5
1970,14
1971,7
1972,0
1973,7
1974,0
1975,0
1976,11
1977,8
1978,10
1979,6
1980,14
1981,15
1982,10
1983,10
1984,14
1985,13
1986,15
1987,14
1988,13
1989,20
1990,25
1991,17
1992,23
1993,27
1994,36
1995,27
1996,18
1997,23
1998,28
1999,27
2000,37
2001,33
2002,34
2003,29
2004,33
2005,34
2006,36
2007,43
2008,36
2009,33
2010,35
2011,34
2012,29
