year,Reyes
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,11
1901,0
1902,0
1903,0
1904,6
1905,0
1906,5
1907,0
1908,10
1909,13
1910,11
1911,0
1912,15
1913,17
1914,11
1915,39
1916,39
1917,23
1918,29
1919,38
1920,57
1921,32
1922,41
1923,52
1924,55
1925,44
1926,52
1927,38
1928,58
1929,51
1930,63
1931,51
1932,54
1933,41
1934,54
1935,50
1936,53
1937,44
1938,39
1939,39
1940,52
1941,51
1942,59
1943,36
1944,48
1945,60
1946,62
1947,75
1948,66
1949,51
1950,59
1951,53
1952,62
1953,68
1954,78
1955,52
1956,50
1957,59
1958,62
1959,50
1960,50
1961,40
1962,49
1963,46
1964,60
1965,59
1966,49
1967,52
1968,33
1969,68
1970,64
1971,49
1972,51
1973,64
1974,54
1975,40
1976,56
1977,69
1978,60
1979,79
1980,79
1981,68
1982,73
1983,58
1984,58
1985,62
1986,72
1987,66
1988,77
1989,83
1990,96
1991,87
1992,84
1993,51
1994,88
1995,74
1996,89
1997,87
1998,67
1999,101
2000,87
2001,87
2002,92
2003,71
2004,80
2005,83
2006,86
2007,66
2008,94
2009,62
2010,53
2011,61
2012,67
