year,Rema
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,0
1909,6
1910,0
1911,7
1912,5
1913,0
1914,23
1915,16
1916,17
1917,12
1918,28
1919,9
1920,20
1921,25
1922,12
1923,19
1924,20
1925,12
1926,14
1927,11
1928,19
1929,15
1930,10
1931,16
1932,18
1933,18
1934,12
1935,13
1936,11
1937,12
1938,8
1939,13
1940,10
1941,7
1942,8
1943,7
1944,10
1945,0
1946,7
1947,10
1948,9
1949,9
1950,10
1951,5
1952,6
1953,0
1954,7
1955,8
1956,7
1957,0
1958,12
1959,15
1960,8
1961,7
1962,6
1963,8
1964,8
1965,9
1966,11
1967,11
1968,9
1969,10
1970,11
1971,12
1972,7
1973,7
1974,11
1975,12
1976,8
1977,13
1978,12
1979,12
1980,6
1981,9
1982,18
1983,11
1984,15
1985,15
1986,16
1987,23
1988,11
1989,12
1990,13
1991,14
1992,13
1993,11
1994,9
1995,7
1996,9
1997,10
1998,14
1999,12
2000,8
2001,8
2002,7
2003,7
2004,0
2005,14
2006,5
2007,7
2008,5
2009,5
2010,8
2011,6
2012,7
