year,Rosina
1880,11
1881,7
1882,8
1883,12
1884,15
1885,12
1886,17
1887,17
1888,22
1889,23
1890,34
1891,18
1892,19
1893,24
1894,28
1895,30
1896,34
1897,23
1898,28
1899,30
1900,23
1901,19
1902,30
1903,33
1904,31
1905,27
1906,28
1907,24
1908,32
1909,41
1910,42
1911,37
1912,54
1913,67
1914,84
1915,90
1916,108
1917,103
1918,93
1919,76
1920,115
1921,127
1922,119
1923,127
1924,130
1925,121
1926,104
1927,79
1928,105
1929,80
1930,75
1931,61
1932,72
1933,61
1934,43
1935,56
1936,44
1937,50
1938,42
1939,45
1940,42
1941,25
1942,37
1943,39
1944,42
1945,30
1946,33
1947,46
1948,53
1949,38
1950,39
1951,32
1952,42
1953,41
1954,51
1955,43
1956,43
1957,46
1958,54
1959,43
1960,36
1961,24
1962,40
1963,41
1964,40
1965,32
1966,35
1967,32
1968,35
1969,43
1970,30
1971,32
1972,28
1973,27
1974,32
1975,39
1976,28
1977,21
1978,28
1979,35
1980,37
1981,30
1982,24
1983,24
1984,19
1985,23
1986,21
1987,17
1988,24
1989,21
1990,26
1991,23
1992,22
1993,15
1994,17
1995,28
1996,18
1997,11
1998,19
1999,14
2000,19
2001,13
2002,22
2003,15
2004,11
2005,13
2006,18
2007,18
2008,18
2009,12
2010,14
2011,17
2012,19
