year,Rochelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,5
1902,5
1903,6
1904,5
1905,5
1906,0
1907,5
1908,5
1909,8
1910,17
1911,14
1912,12
1913,16
1914,26
1915,33
1916,46
1917,35
1918,49
1919,52
1920,46
1921,57
1922,39
1923,49
1924,36
1925,56
1926,33
1927,37
1928,42
1929,46
1930,31
1931,33
1932,48
1933,70
1934,102
1935,233
1936,451
1937,458
1938,483
1939,435
1940,467
1941,462
1942,493
1943,471
1944,383
1945,364
1946,464
1947,486
1948,475
1949,500
1950,530
1951,537
1952,546
1953,584
1954,628
1955,739
1956,796
1957,786
1958,874
1959,927
1960,920
1961,1044
1962,1009
1963,881
1964,957
1965,909
1966,908
1967,1008
1968,1050
1969,1283
1970,1180
1971,1164
1972,1058
1973,1017
1974,913
1975,829
1976,746
1977,718
1978,728
1979,800
1980,761
1981,822
1982,810
1983,692
1984,700
1985,670
1986,696
1987,744
1988,728
1989,718
1990,696
1991,629
1992,568
1993,514
1994,447
1995,362
1996,319
1997,264
1998,242
1999,218
2000,197
2001,159
2002,169
2003,135
2004,144
2005,134
2006,93
2007,74
2008,101
2009,85
2010,69
2011,58
2012,55
