year,Rocco
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,8
1893,6
1894,6
1895,8
1896,13
1897,12
1898,7
1899,15
1900,12
1901,14
1902,11
1903,22
1904,11
1905,19
1906,24
1907,25
1908,22
1909,43
1910,47
1911,69
1912,115
1913,164
1914,198
1915,290
1916,315
1917,320
1918,308
1919,331
1920,373
1921,350
1922,387
1923,332
1924,359
1925,317
1926,309
1927,327
1928,285
1929,275
1930,239
1931,217
1932,185
1933,210
1934,153
1935,179
1936,159
1937,128
1938,143
1939,141
1940,123
1941,135
1942,167
1943,152
1944,128
1945,132
1946,138
1947,175
1948,185
1949,187
1950,177
1951,185
1952,201
1953,213
1954,204
1955,228
1956,257
1957,254
1958,245
1959,235
1960,233
1961,188
1962,187
1963,188
1964,194
1965,171
1966,152
1967,151
1968,155
1969,156
1970,139
1971,149
1972,129
1973,121
1974,148
1975,115
1976,140
1977,153
1978,127
1979,185
1980,148
1981,150
1982,135
1983,139
1984,137
1985,133
1986,120
1987,146
1988,121
1989,142
1990,139
1991,106
1992,130
1993,124
1994,123
1995,130
1996,115
1997,98
1998,101
1999,99
2000,118
2001,238
2002,225
2003,298
2004,439
2005,442
2006,530
2007,626
2008,706
2009,785
2010,725
2011,708
2012,684
