year,Renata
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,7
1904,0
1905,0
1906,0
1907,7
1908,0
1909,0
1910,0
1911,9
1912,0
1913,0
1914,6
1915,15
1916,26
1917,17
1918,22
1919,12
1920,12
1921,20
1922,5
1923,11
1924,13
1925,10
1926,10
1927,10
1928,8
1929,6
1930,11
1931,8
1932,8
1933,12
1934,14
1935,9
1936,0
1937,11
1938,10
1939,0
1940,9
1941,9
1942,5
1943,5
1944,0
1945,6
1946,12
1947,9
1948,13
1949,20
1950,18
1951,15
1952,33
1953,31
1954,43
1955,40
1956,76
1957,72
1958,69
1959,106
1960,69
1961,92
1962,81
1963,88
1964,152
1965,97
1966,72
1967,88
1968,74
1969,77
1970,78
1971,74
1972,56
1973,52
1974,55
1975,54
1976,55
1977,51
1978,47
1979,228
1980,726
1981,224
1982,146
1983,118
1984,111
1985,104
1986,90
1987,83
1988,66
1989,64
1990,44
1991,55
1992,66
1993,52
1994,56
1995,74
1996,55
1997,56
1998,56
1999,66
2000,67
2001,75
2002,68
2003,74
2004,90
2005,104
2006,167
2007,218
2008,248
2009,209
2010,241
2011,361
2012,371
