year,Roxy
1880,0
1881,0
1882,7
1883,13
1884,5
1885,10
1886,6
1887,8
1888,10
1889,5
1890,6
1891,10
1892,10
1893,8
1894,7
1895,9
1896,7
1897,9
1898,8
1899,9
1900,9
1901,0
1902,5
1903,11
1904,0
1905,8
1906,0
1907,6
1908,0
1909,0
1910,10
1911,5
1912,5
1913,10
1914,13
1915,19
1916,17
1917,16
1918,15
1919,16
1920,15
1921,10
1922,19
1923,14
1924,12
1925,13
1926,16
1927,10
1928,20
1929,13
1930,9
1931,13
1932,23
1933,15
1934,23
1935,16
1936,26
1937,14
1938,16
1939,17
1940,16
1941,13
1942,23
1943,44
1944,37
1945,28
1946,34
1947,57
1948,46
1949,50
1950,52
1951,43
1952,53
1953,64
1954,58
1955,45
1956,46
1957,52
1958,32
1959,31
1960,45
1961,37
1962,31
1963,38
1964,15
1965,13
1966,14
1967,11
1968,13
1969,14
1970,0
1971,15
1972,8
1973,7
1974,8
1975,9
1976,7
1977,15
1978,12
1979,16
1980,15
1981,11
1982,13
1983,12
1984,7
1985,13
1986,22
1987,9
1988,17
1989,15
1990,13
1991,12
1992,17
1993,21
1994,13
1995,14
1996,10
1997,13
1998,12
1999,9
2000,21
2001,25
2002,43
2003,41
2004,63
2005,84
2006,80
2007,108
2008,135
2009,145
2010,121
2011,94
2012,120
